Word,Kata Muncul,IDF Divider
madang,1,8.006367567650246
wiiih,1,8.006367567650246
terhadsp,1,8.006367567650246
bangett,6,6.214608098422191
yme,1,8.006367567650246
hamba,1,8.006367567650246
takjub,19,5.061928588483807
syukur,4,6.620073206530356
anugrah,3,6.907755278982137
desa,26,4.748271029628765
tokol,3,6.907755278982137
pariwisata,10,5.703782474656201
larang,5,6.396929655216146
satu,14,5.367310238034988
gede,8,5.926926025970411
sebar,2,7.313220387090301
tangan,5,6.396929655216146
camat,10,5.703782474656201
toelet,1,8.006367567650246
nyembur,1,8.006367567650246
edukasi,4,6.620073206530356
bingung,2,7.313220387090301
gapura,3,6.907755278982137
rp,19,5.061928588483807
utama,9,5.809142990314028
selasa,2,7.313220387090301
gas,10,5.703782474656201
sisa,6,6.214608098422191
rupiah,5,6.396929655216146
pasuk,4,6.620073206530356
jaja,1,8.006367567650246
aksesoris,2,7.313220387090301
pelihara,4,6.620073206530356
guyur,4,6.620073206530356
icon,4,6.620073206530356
bijak,1,8.006367567650246
ruuaar,1,8.006367567650246
masya,2,7.313220387090301
mashaallah,1,8.006367567650246
tengkar,1,8.006367567650246
sbelum,1,8.006367567650246
paksa,4,6.620073206530356
sampek,5,6.396929655216146
hrgnya,1,8.006367567650246
papas,5,6.396929655216146
sempit,13,5.44141821018871
restribusi,1,8.006367567650246
ayo,3,6.907755278982137
tinggal,17,5.173154223594031
elpiji,1,8.006367567650246
korek,6,6.214608098422191
tajem,1,8.006367567650246
cmn,6,6.214608098422191
ckckc,1,8.006367567650246
dlm,3,6.907755278982137
in,7,6.060457418594933
kasi,5,6.396929655216146
dar,12,5.521460917862246
mantik,1,8.006367567650246
konon,3,6.907755278982137
swt,9,5.809142990314028
teliti,3,6.907755278982137
akal,2,7.313220387090301
manusia,4,6.620073206530356
ufuk,2,7.313220387090301
barat,7,6.060457418594933
bahan,7,6.060457418594933
pusat,10,5.703782474656201
gelinding,1,8.006367567650246
rajin,3,6.907755278982137
bumi,9,5.809142990314028
banding,9,5.809142990314028
datang,9,5.809142990314028
aneh,4,6.620073206530356
tunggu,4,6.620073206530356
mentari,2,7.313220387090301
jauh,4,6.620073206530356
raya,17,5.173154223594031
toko,9,5.809142990314028
bayang,1,8.006367567650246
sewah,1,8.006367567650246
sekian,5,6.396929655216146
dunia,5,6.396929655216146
langka,5,6.396929655216146
masyaallah,4,6.620073206530356
profesional,5,6.396929655216146
semangat,3,6.907755278982137
kagum,8,5.926926025970411
agung,4,6.620073206530356
selfi,8,5.926926025970411
place,3,6.907755278982137
good,5,6.396929655216146
gusti,2,7.313220387090301
sek,1,8.006367567650246
minyak,5,6.396929655216146
waaah,1,8.006367567650246
dompet,3,6.907755278982137
perut,5,6.396929655216146
yaa,6,6.214608098422191
isi,11,5.608472294851876
insyaallah,5,6.396929655216146
kuliner,28,4.674163057475043
maknyus,3,6.907755278982137
recomendet,1,8.006367567650246
cegat,2,7.313220387090301
deket,6,6.214608098422191
natural,3,6.907755278982137
besama,1,8.006367567650246
sesubageet,1,8.006367567650246
istri,4,6.620073206530356
jelang,6,6.214608098422191
petang,1,8.006367567650246
kios,5,6.396929655216146
pnjual,1,8.006367567650246
teraedia,1,8.006367567650246
bis,7,6.060457418594933
dimadura,4,6.620073206530356
faktor,1,8.006367567650246
kental,1,8.006367567650246
iklim,1,8.006367567650246
adat,2,7.313220387090301
sja,2,7.313220387090301
tradisional,5,6.396929655216146
sejarah,9,5.809142990314028
papan,4,6.620073206530356
bang,2,7.313220387090301
congkel,2,7.313220387090301
musim,33,4.509860006183766
kandung,1,8.006367567650246
tunjuk,10,5.703782474656201
makna,2,7.313220387090301
eh,3,6.907755278982137
suangar,1,8.006367567650246
komentar,2,7.313220387090301
hmm,1,8.006367567650246
manis,9,5.809142990314028
renung,2,7.313220387090301
tips,1,8.006367567650246
mateng,1,8.006367567650246
kes,10,5.703782474656201
sumber,5,6.396929655216146
asal,9,5.809142990314028
kepeng,1,8.006367567650246
pribadi,8,5.926926025970411
doang,3,6.907755278982137
besok,1,8.006367567650246
rekomend,2,7.313220387090301
ulas,3,6.907755278982137
gakak,1,8.006367567650246
baca,2,7.313220387090301
sigitu,1,8.006367567650246
susul,1,8.006367567650246
dulur,1,8.006367567650246
jarang,14,5.367310238034988
ciamik,1,8.006367567650246
nuansa,3,6.907755278982137
tkp,4,6.620073206530356
tertib,4,6.620073206530356
ksana,4,6.620073206530356
tu,2,7.313220387090301
trsbut,1,8.006367567650246
pungli,37,4.395449655006022
kmren,1,8.006367567650246
risih,2,7.313220387090301
bwa,2,7.313220387090301
kucing,2,7.313220387090301
tai,1,8.006367567650246
map,7,6.060457418594933
sesat,1,8.006367567650246
kirain,1,8.006367567650246
mter,1,8.006367567650246
raga,1,8.006367567650246
olah,1,8.006367567650246
dng,1,8.006367567650246
nasional,7,6.060457418594933
sampa,1,8.006367567650246
menabjubkan,1,8.006367567650246
geh,1,8.006367567650246
family,4,6.620073206530356
ter,6,6.214608098422191
udeng,1,8.006367567650246
tk,2,7.313220387090301
sya,2,7.313220387090301
maturnuwun,1,8.006367567650246
ma,2,7.313220387090301
barokah,6,6.214608098422191
sebenarnga,1,8.006367567650246
akan,3,6.907755278982137
yaaa,5,6.396929655216146
diitungnya,1,8.006367567650246
buset,1,8.006367567650246
he,10,5.703782474656201
gapernah,1,8.006367567650246
mangga,23,4.870873351721097
domestik,1,8.006367567650246
sarana,9,5.809142990314028
prasarana,2,7.313220387090301
internasional,1,8.006367567650246
dekorasi,1,8.006367567650246
benah,11,5.608472294851876
cobek,1,8.006367567650246
semen,1,8.006367567650246
pisau,2,7.313220387090301
tetua,2,7.313220387090301
global,1,8.006367567650246
inovasi,1,8.006367567650246
sambut,3,6.907755278982137
senyum,3,6.907755278982137
refresing,4,6.620073206530356
tembak,1,8.006367567650246
branta,1,8.006367567650246
ikan,17,5.173154223594031
padanm,1,8.006367567650246
dermaga,3,6.907755278982137
jenuh,1,8.006367567650246
menghikangkan,1,8.006367567650246
barbeque,1,8.006367567650246
temu,9,5.809142990314028
maih,1,8.006367567650246
keluardari,1,8.006367567650246
stand,2,7.313220387090301
hebat,3,6.907755278982137
muka,4,6.620073206530356
uni,4,6.620073206530356
sembur,3,6.907755278982137
reaksi,1,8.006367567650246
wow,2,7.313220387090301
sesar,1,8.006367567650246
reta,1,8.006367567650246
kulit,4,6.620073206530356
si,8,5.926926025970411
anting,1,8.006367567650246
galak,4,6.620073206530356
pasang,12,5.521460917862246
plat,3,6.907755278982137
waspada,1,8.006367567650246
mentang,2,7.313220387090301
wajah,2,7.313220387090301
